version_id,content_id,value
1,1,1
1,2,2
1,3,Sistema de trazabilidad agrícola basado en tecnología blockchain para exportación
1,4,"El proyecto es viable técnica y económicamente, ya que existen plataformas blockchain de código abierto que pueden ser adaptadas al sector agrícola, y hay creciente demanda de trazabilidad en exportación."
1,5,"El proyecto se alinea con las líneas de investigación en transformación digital y sostenibilidad agrícola, promoviendo el uso de tecnologías emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingeniería de Sistemas."
1,6,Si hay docentes disponibles
1,7,"Existe una correspondencia clara entre el título y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agrícola. El título refleja adecuadamente el alcance del objetivo general y el lenguaje es técnico y pertinente."
1,8,Diseñar e implementar un sistema de trazabilidad agrícola basado en tecnología blockchain que garantice la autenticidad y el origen de los productos destinados a exportación.
1,9,"Diseño e implementación de un sistema de registro y seguimiento de productos agrícolas orientado a la exportación, utilizando blockchain para garantizar transparencia y autenticidad."
2,1,2
2,2,4
2,3,Asistente virtual inteligente para analizar emociones en centros de atención telefónica
2,4,"La implementación es viable debido al avance de tecnologías de procesamiento de voz y modelos de aprendizaje automático, así como la disponibilidad de bibliotecas especializadas y datos etiquetados."
2,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologías de interacción hombre-máquina, integrando áreas clave del programa como aprendizaje automático y procesamiento de lenguaje."
2,6,Si hay docentes disponibles
2,7,"El título y el objetivo están bien alineados, mostrando coherencia en el enfoque hacia la implementación de un sistema inteligente para análisis emocional en llamadas, con claridad y precisión en el planteamiento."
2,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atención al cliente, con el fin de mejorar la calidad del servicio."
2,9,"Desarrollo de un asistente virtual que analiza la voz de los clientes en tiempo real para identificar emociones y estados de ánimo, con el fin de mejorar la calidad del servicio."
3,1,1
3,2,3
3,3,Aplicación móvil para agricultores: monitoreo de cultivos mediante sensores y satélites
3,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos móviles, lo cual reduce barreras de entrada para agricultores."
3,5,"Tiene pertinencia con líneas de investigación en IoT y sistemas móviles aplicados al desarrollo rural y agrícola, lo que refuerza el enfoque del programa hacia soluciones tecnológicas con impacto social."
3,6,Si hay docentes disponibles
3,7,"El título resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relación directa entre el lenguaje técnico y la finalidad del proyecto."
3,8,"Crear una aplicación móvil que permita a los agricultores monitorear el estado de sus cultivos a través de sensores y datos satelitales, facilitando la toma de decisiones técnicas."
3,9,"Creación de una app que integra datos de sensores y satélites para ayudar a los agricultores a monitorear variables clave como humedad, temperatura y estado de los cultivos."
4,1,2
4,2,2
4,3,Modelo predictivo basado en IA para prevenir fallos en maquinaria industrial pesada
4,4,La viabilidad es alta debido al fácil acceso a grandes volúmenes de datos de maquinaria industrial y a la madurez de frameworks de inteligencia artificial aplicables a mantenimiento predictivo.
4,5,"El proyecto se relaciona con la investigación en mantenimiento inteligente y análisis predictivo, promoviendo la aplicación de IA en la industria, eje fundamental del programa de ingeniería y transformación digital."
4,6,Si hay docentes disponibles
4,7,"El objetivo y el título están bien formulados y guardan correspondencia, ya que ambos abordan la aplicación de modelos predictivos para anticipar fallos en maquinaria. Se evidencia claridad y consistencia terminológica."
4,8,"Diseñar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
4,9,Implementación de un sistema predictivo utilizando machine learning que analiza patrones de uso y fallas anteriores para anticipar problemas en maquinaria industrial crítica.
5,1,2
5,2,2
5,3,Uso de deep learning en la optimización dinámica de rutas de entrega urbana
5,4,"El proyecto es viable ya que puede integrarse con sistemas GPS y plataformas de análisis de tráfico abiertas, y se beneficia del aumento del comercio electrónico que requiere logística eficiente."
5,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logística urbana, área de interés para el grupo de investigación en ciencia de datos e ingeniería aplicada."
5,6,Si hay docentes disponibles
5,7,"Se observa una correspondencia clara entre lo que el título comunica y lo que el objetivo pretende alcanzar. Ambos destacan el uso de redes neuronales para mejorar rutas urbanas, manteniendo una alta calidad técnica."
5,8,Desarrollar un sistema de optimización dinámica de rutas de entrega urbana empleando redes neuronales y análisis de variables contextuales en tiempo real.
5,9,"Desarrollo de un algoritmo que optimiza en tiempo real las rutas de distribución en zonas urbanas, utilizando redes neuronales y datos de tráfico, clima y entregas."
6,2,2
6,3,Digital twins aplicados a la automatización y eficiencia en centros logísticos
6,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logísticos, contribuyendo a la automatización y eficiencia de operaciones en centros de distribución."
6,9,"Investigación sobre el uso de gemelos digitales para replicar procesos logísticos, mejorar la toma de decisiones y reducir errores en centros de distribución."
7,3,Herramienta de análisis forense digital para investigar incidentes de ciberseguridad
7,8,"Diseñar una herramienta digital que permita la recolección y análisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informática."
7,9,"Diseño de una herramienta basada en software libre que permita recolectar, analizar y presentar evidencia digital tras un ciberataque, facilitando procesos forenses."
8,3,Sistema de alerta temprana de deserción escolar mediante inteligencia artificial
8,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de deserción escolar y proponga estrategias de retención educativa.
8,9,"Desarrollo de un sistema que utiliza IA para identificar estudiantes en riesgo de abandono escolar, basado en patrones de asistencia, rendimiento y comportamiento."
9,3,Solución web inteligente para la recolección y clasificación de residuos urbanos
9,8,"Desarrollar una solución web inteligente para optimizar la gestión y trazabilidad de residuos sólidos urbanos mediante tecnologías de registro, clasificación y seguimiento."
9,9,"Implementación de una plataforma web que conecta ciudadanos y gestores de residuos para facilitar la clasificación, recolección y trazabilidad de desechos en ciudades."
10,3,Recomendador inteligente de formación académica usando perfiles y trayectorias previas
10,8,Diseñar un sistema de recomendación académico que sugiera cursos y trayectorias formativas personalizadas a partir del análisis de datos académicos y preferencias individuales.
10,9,"Diseño de un sistema de recomendación académica que sugiere cursos o carreras personalizadas según habilidades, intereses y antecedentes educativos del estudiante."
11,1,2
11,2,2
11,3,Blockchain aplicado al control de calidad y origen en cadenas agroalimentarias
11,4,"El proyecto es viable técnica y económicamente, ya que existen plataformas blockchain de código abierto que pueden ser adaptadas al sector agrícola, y hay creciente demanda de trazabilidad en exportación."
11,5,"El proyecto se alinea con las líneas de investigación en transformación digital y sostenibilidad agrícola, promoviendo el uso de tecnologías emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingeniería de Sistemas."
11,6,Si hay docentes disponibles
11,7,"Existe una correspondencia clara entre el título y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agrícola. El título refleja adecuadamente el alcance del objetivo general y el lenguaje es técnico y pertinente."
11,8,Diseñar e implementar un sistema de trazabilidad agrícola basado en tecnología blockchain que garantice la autenticidad y el origen de los productos destinados a exportación.
11,9,"Diseño de una solución blockchain para registrar y verificar el origen de productos agrícolas, enfocada en exportadores que requieren altos estándares de trazabilidad. C"
12,1,1
12,2,2
12,3,Análisis de sentimientos en tiempo real durante llamadas mediante inteligencia artificial
12,4,"La implementación es viable debido al avance de tecnologías de procesamiento de voz y modelos de aprendizaje automático, así como la disponibilidad de bibliotecas especializadas y datos etiquetados."
12,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologías de interacción hombre-máquina, integrando áreas clave del programa como aprendizaje automático y procesamiento de lenguaje."
12,6,Si hay docentes disponibles
12,7,"El título y el objetivo están bien alineados, mostrando coherencia en el enfoque hacia la implementación de un sistema inteligente para análisis emocional en llamadas, con claridad y precisión en el planteamiento."
12,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atención al cliente, con el fin de mejorar la calidad del servicio."
12,9,"Implementación de un sistema inteligente que interpreta emociones a partir del tono de voz en llamadas de atención, ayudando a mejorar la experiencia del usuario."
13,1,1
13,2,2
13,3,Plataforma móvil para asistencia técnica y monitoreo remoto de cultivos agrícolas
13,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos móviles, lo cual reduce barreras de entrada para agricultores. "
13,5,"Tiene pertinencia con líneas de investigación en IoT y sistemas móviles aplicados al desarrollo rural y agrícola, lo que refuerza el enfoque del programa hacia soluciones tecnológicas con impacto social."
13,6,Si hay docentes disponibles
13,7,"El título resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relación directa entre el lenguaje técnico y la finalidad del proyecto."
13,8,"Desarrollo de una aplicación móvil que recopile información de sensores agrícolas y satélites, permitiendo a pequeños y medianos productores supervisar el estado de sus cultivos y recibir alertas sobre condiciones críticas."
13,9,"Aplicación móvil para el monitoreo en tiempo real de cultivos mediante datos satelitales y sensores de campo, con alertas personalizadas para agricultores."
14,1,2
14,2,2
14,3,Algoritmo predictivo para mantenimiento preventivo en maquinaria industrial
14,4,"El proyecto es viable debido a la amplia disponibilidad de sensores industriales y datos históricos en entornos productivos, lo que permite entrenar modelos de predicción sin requerir grandes inversiones adicionales. Además, el retorno sobre la inversión es alto al reducir tiempos de parada."
14,5,"El proyecto se relaciona con la investigación en mantenimiento inteligente y análisis predictivo, promoviendo la aplicación de IA en la industria, eje fundamental del programa de ingeniería y transformación digital."
14,6,Si hay docentes disponibles
14,7,"El título comunica de forma precisa la esencia del objetivo general, centrado en la predicción de fallos mediante IA. La redacción mantiene coherencia terminológica, y refleja adecuadamente tanto el enfoque técnico como la aplicabilidad industrial del proyecto."
14,8,"Diseñar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
14,9,"Desarrollo de un modelo predictivo de mantenimiento industrial basado en datos históricos de sensores, optimizando tiempos de reparación y reduciendo costos."
15,1,1
15,2,2
15,3,Optimización de rutas de entrega utilizando redes neuronales
15,4,"El proyecto resulta viable gracias a la posibilidad de integrar datos abiertos de movilidad urbana, el uso de frameworks accesibles para deep learning, y la demanda de soluciones logísticas eficientes en ciudades con problemas de tráfico."
15,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logística urbana, área de interés para el grupo de investigación en ciencia de datos e ingeniería aplicada."
15,6,Si hay docentes disponibles
15,7,"El título sintetiza de manera clara la meta principal del proyecto, que es optimizar rutas de entrega con inteligencia artificial. Existe una adecuada relación semántica entre el título y el objetivo, lo que denota claridad conceptual y enfoque aplicado."
15,8,Desarrollar un sistema de optimización dinámica de rutas de entrega urbana empleando redes neuronales y análisis de variables contextuales en tiempo real.
15,9,"Optimización de rutas de entrega utilizando aprendizaje profundo y análisis en tiempo real de variables como clima, tráfico y disponibilidad de vehículos."
16,3,Implementación de gemelos digitales en procesos logísticos
16,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logísticos, contribuyendo a la automatización y eficiencia de operaciones en centros de distribución."
16,9,"Sistema de simulación con gemelos digitales para optimizar procesos logísticos, identificar cuellos de botella y proponer mejoras en almacenes y centros de distribución."
17,3,Análisis forense de ciberataques con herramientas de código abierto
17,8,"Diseñar una herramienta digital que permita la recolección y análisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informática."
17,9,"Creación de una herramienta de análisis forense para investigar ciberataques, con enfoque en automatización de recolección de evidencias digitales. C"
18,3,Modelo de predicción de abandono escolar basado en machine learning
18,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de deserción escolar y proponga estrategias de retención educativa.
18,9,"Diseño de una plataforma que predice riesgos de deserción estudiantil con base en datos académicos, socioeconómicos y patrones de comportamiento. C"
19,3,Plataforma web para la gestión de residuos sólidos urbanos
19,8,"Desarrollar una solución web inteligente para optimizar la gestión y trazabilidad de residuos sólidos urbanos mediante tecnologías de registro, clasificación y seguimiento."
19,9,"Sistema web que facilita la gestión inteligente de residuos urbanos mediante registro, clasificación y trazabilidad de los desechos recolectados. C"
20,3,Sistema de recomendación de cursos personalizados con inteligencia artificial
20,8,Diseñar un sistema de recomendación académico que sugiera cursos y trayectorias formativas personalizadas a partir del análisis de datos académicos y preferencias individuales.
20,9,Motor de recomendación educativa que analiza perfiles académicos y preferencias del usuario para sugerir rutas de formación personalizadas.
21,1,2
21,2,2
21,3,Trazabilidad de productos agrícolas mediante blockchain
21,4,"El proyecto es viable técnica y económicamente, ya que existen plataformas blockchain de código abierto que pueden ser adaptadas al sector agrícola, y hay creciente demanda de trazabilidad en exportación."
21,5,"El proyecto se alinea con las líneas de investigación en transformación digital y sostenibilidad agrícola, promoviendo el uso de tecnologías emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingeniería de Sistemas."
21,6,Si hay docentes disponibles
21,7,"Existe una correspondencia clara entre el título y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agrícola. El título refleja adecuadamente el alcance del objetivo general y el lenguaje es técnico y pertinente."
21,8,Diseñar e implementar un sistema de trazabilidad agrícola basado en tecnología blockchain que garantice la autenticidad y el origen de los productos destinados a exportación.
21,9,"Diseño de una solución blockchain para registrar y verificar el origen de productos agrícolas, enfocada en exportadores que requieren altos estándares de trazabilidad."
22,1,2
22,2,2
22,3,Sistema inteligente para detección de emociones en llamadas de servicio al cliente
22,4,"El proyecto es viable debido a la amplia disponibilidad de sensores industriales y datos históricos en entornos productivos, lo que permite entrenar modelos de predicción sin requerir grandes inversiones adicionales. Además, el retorno sobre la inversión es alto al reducir tiempos de parada."
22,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologías de interacción hombre-máquina, integrando áreas clave del programa como aprendizaje automático y procesamiento de lenguaje."
22,6,Si hay docentes disponibles
22,7,"El título y el objetivo están bien alineados, mostrando coherencia en el enfoque hacia la implementación de un sistema inteligente para análisis emocional en llamadas, con claridad y precisión en el planteamiento."
22,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atención al cliente, con el fin de mejorar la calidad del servicio."
22,9,"Implementación de un sistema inteligente que interpreta emociones a partir del tono de voz en llamadas de atención, ayudando a mejorar la experiencia del usuario."
23,1,2
23,2,2
23,3,Desarrollo de una aplicación móvil para monitoreo de cultivos en zonas rurales
23,4,"El proyecto resulta viable gracias a la posibilidad de integrar datos abiertos de movilidad urbana, el uso de frameworks accesibles para deep learning, y la demanda de soluciones logísticas eficientes en ciudades con problemas de tráfico."
23,5,"Tiene pertinencia con líneas de investigación en IoT y sistemas móviles aplicados al desarrollo rural y agrícola, lo que refuerza el enfoque del programa hacia soluciones tecnológicas con impacto social."
23,6,Si hay docentes disponibles
23,7,"El título resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relación directa entre el lenguaje técnico y la finalidad del proyecto."
23,8,"Crear una aplicación móvil que permita a los agricultores monitorear el estado de sus cultivos a través de sensores y datos satelitales, facilitando la toma de decisiones técnicas."
23,9,"Aplicación móvil para el monitoreo en tiempo real de cultivos mediante datos satelitales y sensores de campo, con alertas personalizadas para agricultores."
24,1,1
24,2,2
24,3,Identificación de procesos académicos universitarios para su modelado organizacional
24,4,"El proyecto es viable, requiere recursos mínimos y puede desarrollarse dentro del tiempo académico establecido."
24,5,"El proyecto está alineado con la línea de investigación en Sistemas de Información, específicamente en Arquitectura empresarial, contribuyendo al análisis y optimización de procesos."
24,6,Existen docentes disponibles con experiencia en BPM y gestión de procesos para dirigir y evaluar el proyecto.
24,7,"El título refleja adecuadamente el objetivo planteado, aunque se sugiere mayor especificidad en el alcance del modelado."
24,8,Reconocer los principales procesos académicos de una institución universitaria con el fin de proponer una estrategia inicial de mejora basada en su documentación
24,9,"Este proyecto propone levantar información de los procesos administrativos y académicos existentes en una universidad, buscando detectar redundancias y cuellos de botella que puedan ser optimizados"
25,1,2
25,2,2
25,3,Implementación de un sistema de monitoreo de seguridad para la protección de datos institucionales
25,4,El proyecto es viable con el uso de herramientas open source de monitoreo y análisis de seguridad. No requiere infraestructura costosa.
25,5,"Este proyecto se articula con la línea de investigación en Sistemas de Información, área temática Seguridad informática, fortaleciendo las capacidades institucionales en protección de datos."
25,6,Hay docentes con experiencia en ciberseguridad y gestión de infraestructuras de red que pueden dirigir el proyecto.
25,7,El título y el objetivo son coherentes al centrarse en la implementación de un sistema orientado a la seguridad y protección de datos.
25,8,"Diseñar e implementar un sistema de monitoreo de seguridad que permita detectar, registrar y alertar posibles amenazas a la integridad de los datos institucionales en tiempo real."
25,9,"El proyecto busca desarrollar una solución de software que integre herramientas de monitoreo de seguridad y gestión de incidentes (SIEM), con el fin de proteger la información crítica de una institución universitaria. Se incluirán pruebas de vulnerabilidad, definición de políticas de acceso y generación de reportes de eventos."
26,1,2
26,2,2
26,3,Desarrollo de un entorno virtual interactivo para el aprendizaje de estructuras de datos
26,4,"El proyecto es viable técnica y académicamente, ya que puede implementarse utilizando tecnologías web y motores de simulación livianos que no requieren altos recursos de hardware."
26,5,"El proyecto se alinea con las líneas de investigación en ingeniería de software y tecnologías educativas, contribuyendo al fortalecimiento de herramientas pedagógicas digitales en el programa de Ingeniería de Sistemas."
26,6,Hay docentes disponibles y con experiencia en desarrollo de software educativo y programación interactiva.
26,7,"Existe coherencia entre el título y el objetivo del proyecto, ambos centrados en el desarrollo de un entorno interactivo enfocado en estructuras de datos. El lenguaje técnico es claro y adecuado."
26,8,Diseñar e implementar un entorno virtual interactivo que permita a los estudiantes comprender y visualizar el funcionamiento de las estructuras de datos mediante simulaciones dinámicas.
26,9,"El proyecto propone el desarrollo de una herramienta educativa en línea que ofrezca simulaciones visuales de estructuras de datos (listas, pilas, colas, árboles y grafos), permitiendo que los estudiantes experimenten con su funcionamiento en tiempo real, fomentando el aprendizaje práctico."
27,10,"El título es adecuado, pero se recomienda precisar el tipo de procesos académicos a modelar (por ejemplo, matrícula, gestión docente, control académico). Además, el objetivo debe incluir un componente de evaluación de impacto y no solo el modelado."
28,10,"El comité considera que el proyecto es interesante y pertinente, pero sugiere ajustar el título para reflejar más claramente su enfoque educativo y describir con mayor precisión la metodología a utilizar en el desarrollo del entorno."
29,3,Modelado de procesos académicos mediante BPMN para optimizar la gestión administrativa universitaria
29,8,"Optimizar la gestión administrativa universitaria mediante el modelado de los principales procesos académicos utilizando la notación BPMN, con el fin de identificar oportunidades de mejora y eficiencia."
30,3,Sistema de analítica predictiva para la deserción estudiantil en programas universitarios
30,8,"Desarrollar un sistema de analítica predictiva que permita identificar patrones y factores asociados a la deserción estudiantil en programas universitarios, con el fin de implementar estrategias preventivas y mejorar la retención académica."
30,9,"El proyecto busca crear una solución basada en inteligencia artificial y análisis estadístico para predecir el riesgo de deserción de los estudiantes. A partir de datos históricos (rendimiento académico, asistencia, variables socioeconómicas y participación en actividades), el sistema generará alertas tempranas que permitirán a las instituciones tomar decisiones informadas y diseñar planes de acompañamiento personalizados. Esta herramienta contribuirá a la mejora continua de la calidad educativa y a la sostenibilidad institucional."
31,3,Entorno virtual interactivo para el fortalecimiento del aprendizaje práctico de estructuras de datos
31,9,"El proyecto propone el desarrollo de una plataforma educativa interactiva que permita a los estudiantes experimentar con estructuras de datos como listas, pilas, colas, árboles y grafos a través de simulaciones visuales. La herramienta incluirá ejercicios guiados, retroalimentación automática y módulos de evaluación, fomentando la comprensión práctica y la autogestión del aprendizaje."
32,3,Plataforma web para la gestión y seguimiento integral de prácticas empresariales en programas de ingeniería
32,8,"Diseñar e implementar una plataforma web que optimice el proceso de gestión, seguimiento y evaluación de las prácticas empresariales de los estudiantes de programas de ingeniería, facilitando la comunicación entre instituciones, empresas y alumnos."
32,9,"El proyecto propone la creación de una herramienta digital centralizada que permita a los coordinadores académicos gestionar de manera eficiente la asignación de estudiantes a empresas, el registro de informes, la evaluación de desempeño y la trazabilidad del proceso de prácticas empresariales. La plataforma incluirá módulos para empresas, estudiantes y docentes, garantizando transparencia y acceso a información actualizada. Se espera que contribuya a mejorar la experiencia de los estudiantes y fortalecer los vínculos universidad-empresa."
33,3,Integración de inteligencia artificial generativa en el desarrollo de interfaces conversacionales universitarias
33,8,"Diseñar e implementar una interfaz conversacional universitaria basada en inteligencia artificial generativa que optimice la interacción entre estudiantes y servicios institucionales, mejorando la atención académica y administrativa."
33,9,"El proyecto tiene como propósito desarrollar un asistente virtual universitario impulsado por modelos de lenguaje generativos. Este sistema permitirá a los estudiantes realizar consultas sobre procesos académicos, fechas, asignaturas y servicios, empleando procesamiento de lenguaje natural para ofrecer respuestas precisas y contextualizadas. La interfaz será accesible desde web y dispositivos móviles, integrándose con los sistemas existentes de la institución. Se espera que este desarrollo contribuya a la transformación digital universitaria, incrementando la eficiencia del soporte institucional y la satisfacción de los usuarios."
34,3,Diseño de una arquitectura empresarial para la transformación digital de una institución educativa
34,8,"Diseñar una arquitectura empresarial que integre los procesos académicos, administrativos y tecnológicos de una institución educativa, con el fin de impulsar su transformación digital y mejorar la eficiencia institucional."
34,9,"Este proyecto propone la creación de una arquitectura empresarial que permita a una institución educativa alinear sus objetivos estratégicos con sus sistemas tecnológicos y procesos operativos. Mediante el uso de marcos de referencia como TOGAF y ArchiMate, se busca estructurar la información, los recursos humanos y tecnológicos en un modelo integral que facilite la toma de decisiones y la adopción de nuevas tecnologías. El desarrollo de esta arquitectura permitirá mejorar la interoperabilidad entre sistemas, optimizar flujos de trabajo y sentar las bases para una transformación digital sostenible y escalable en el ámbito educativo."
35,10,"El proyecto presenta un planteamiento sólido, pero se recomienda revisar el alcance del objetivo general para hacerlo más específico y medible.
Además, la descripción podría incluir mayor detalle sobre la tecnología a emplear y los mecanismos de seguridad para la gestión de datos de estudiantes y empresas."
36,10,"El enfoque es innovador y pertinente, sin embargo: 
- Se debe delimitar con mayor claridad el alcance técnico del sistema (qué tipo de IA generativa se empleará y hasta qué nivel de integración con sistemas institucionales).
- En el objetivo general, se recomienda incluir un elemento de evaluación del impacto o desempeño del asistente."
37,10,"El proyecto es pertinente y coherente, pero requiere mayor precisión en la descripción metodológica y en la definición de métricas que permitan evaluar el impacto real de la arquitectura empresarial dentro de la institución. Por favor, revise y complemente el objetivo general y la descripción con estos elementos."
38,3,Desarrollo de una plataforma web para la gestión eficiente de prácticas empresariales en programas de ingeniería
38,8,"Diseñar, desarrollar e implementar una plataforma web integral que gestione y supervise el proceso de prácticas empresariales de los estudiantes de ingeniería, garantizando trazabilidad, comunicación efectiva entre actores y seguridad en el manejo de la información."
38,9,"Este proyecto propone el desarrollo de una plataforma web robusta que centralice el proceso de gestión de prácticas empresariales. La herramienta permitirá el registro y seguimiento de los estudiantes, la evaluación del desempeño, la generación de reportes automáticos y la comunicación entre empresa y universidad. Se utilizarán tecnologías como Django y PostgreSQL, junto con protocolos de seguridad para la protección de datos personales. La solución busca optimizar los tiempos administrativos, aumentar la transparencia del proceso y fortalecer la relación universidad-empresa, contribuyendo a una formación práctica más eficiente y controlada."
39,3,Integración de inteligencia artificial generativa para el diseño de un asistente virtual universitario con evaluación de desempeño
39,8,"Diseñar, desarrollar y evaluar una interfaz conversacional universitaria basada en modelos de inteligencia artificial generativa, que optimice la comunicación entre los estudiantes y los servicios institucionales, midiendo su efectividad mediante indicadores de precisión en las respuestas y satisfacción del usuario."
39,9,"Este proyecto plantea el desarrollo de un asistente virtual universitario basado en modelos de lenguaje generativo (como GPT o Llama), enfocado en brindar soporte académico y administrativo. El sistema se integrará con los servicios institucionales mediante APIs seguras y ofrecerá una interfaz web adaptable. Además, se diseñará un módulo de evaluación del desempeño que analizará métricas como la precisión de las respuestas, tiempo de respuesta y satisfacción del usuario, permitiendo ajustar el modelo de IA de forma iterativa. Esta solución busca mejorar la eficiencia institucional y la experiencia del estudiante en entornos digitales."
40,3,Diseño de una arquitectura empresarial para la transformación digital de una institución educativa
40,8,"Diseñar e implementar una arquitectura empresarial que integre los procesos académicos, administrativos y tecnológicos de una institución educativa, estableciendo indicadores de eficiencia y alineación estratégica que permitan medir el avance de su transformación digital en un periodo de dos años."
40,9,"El proyecto propone la creación de una arquitectura empresarial orientada a la transformación digital de una institución educativa, utilizando el marco de referencia TOGAF para estructurar los dominios de negocio, datos, aplicaciones y tecnología. Se emplearán entrevistas, análisis documental y herramientas de modelado como ArchiMate para obtener una representación integral de los procesos institucionales. Se definirán métricas de eficiencia, interoperabilidad y satisfacción de usuarios que permitan evaluar el impacto del rediseño arquitectónico. Con ello, se busca mejorar la toma de decisiones, optimizar recursos y consolidar una base tecnológica sostenible para la innovación educativa."
41,10,"El proyecto ha mejorado significativamente, pero el objetivo general podría redactarse de manera más concisa y directa. En la descripción se sugiere incluir una referencia a las implicaciones éticas y de privacidad del uso de inteligencia artificial generativa en contextos educativos, y aclarar el tratamiento de los datos personales de los estudiantes para garantizar su protección."
42,10,"El proyecto continúa siendo pertinente y coherente, pero se recomienda contextualizar mejor la institución educativa sobre la que se aplicará el modelo arquitectónico, así como definir los criterios de evaluación que permitirán medir el éxito del proceso de transformación digital. Por favor, incorpore estos ajustes antes de una posible aprobación."
43,3,Integración de inteligencia artificial generativa en el desarrollo de interfaces conversacionales universitarias
43,8,"Desarrollar un asistente virtual universitario basado en inteligencia artificial generativa que mejore la comunicación institucional, garantizando precisión en las respuestas y cumplimiento de principios éticos y de privacidad de los datos."
43,9,"Este proyecto propone el diseño y desarrollo de una interfaz conversacional universitaria impulsada por inteligencia artificial generativa, orientada a optimizar los canales de comunicación entre estudiantes, docentes y áreas administrativas. La solución integrará modelos de lenguaje avanzados con los sistemas académicos existentes, aplicando estándares de seguridad para el manejo responsable de datos personales. Además, se incluirán métricas de desempeño y satisfacción del usuario para ajustar continuamente la calidad de las respuestas del asistente virtual. Con este enfoque, el proyecto busca fortalecer la eficiencia institucional y fomentar el uso ético de la IA en entornos educativos."
44,3,Diseño de una arquitectura empresarial para la transformación digital de una universidad privada de mediana escala
44,8,"Diseñar e implementar una arquitectura empresarial basada en el marco TOGAF que permita a una universidad privada de mediana escala integrar sus procesos académicos, administrativos y tecnológicos, favoreciendo la transformación digital, la eficiencia operativa y la toma de decisiones estratégicas."
44,9,"El proyecto desarrolla una propuesta arquitectónica integral para una universidad privada en proceso de transformación digital. A partir del análisis de sus procesos actuales, se plantea un modelo de arquitectura empresarial que mejora la interoperabilidad entre sistemas, optimiza el flujo de información y fortalece la alineación entre los objetivos institucionales y tecnológicos. La investigación aplica el marco TOGAF como guía metodológica, abordando capas de negocio, aplicaciones, datos y tecnología. Se espera que los resultados permitan establecer una hoja de ruta para la evolución digital de la institución y sirvan como referencia para otras universidades en contextos similares."