research_group_id,name,description
1,"Robótica, Control y Procesado de Señal","Fomentar el desarrollo de sistemas de control de procesos y robótica, basado en soluciones de hardware y software, con el fin de satisfacer las necesidades de la academia y de la industria."
1,Telecomunicaciones,"Desarrollo de proyectos de investigación que permitan conocer, profundizar y evaluar conceptos y tecnologías de Telecomunicaciones y radiocomunicación como son los fenómenos de propagación electromagnética, antenas, microondas, propagación inalámbrica, telecomunicaciones móviles, modelos de radiopropagación, redes de sensores inalámbricos, gestión de espectro; con el propósito de desarrollar aplicaciones hardware- software que resuelvan problemas de gran impacto social y económico en la región y el país."
2,Ingeniería del Software,"Esta línea de investigación estudia el rasgo distintivo del programa de pregrado en Ingeniería de Sistemas de la UDI. Aborda los métodos de ingeniería, estándares y restricciones aplicados al desarrollo de software y su evolución permanente bajo la influencia de la academia y la industria del software."
2,Sistemas de Información,"Aborda el componente organizacional de la incorporación de tecnologías de la información, correspondiente a la articulación entre el programa de pregrado en Ingeniería de Sistemas, la Especialización en Seguridad Informática, y la Maestría en Gestión de Tecnologías de la Información."
2,Nuevas tecnologías aplicadas a la educación,"Línea para proyectos de investigación aplicada y formativa en desarrollo e incorporación de Tecnologías de la Información en procesos educativos, cuyos requerimientos impliquen la visión y los modelos de desarrollo de ingeniería."
3,Gestión competitiva de la cadena de suministros,"Esta línea se orienta a la caracterización y diseño de procesos productivos en las áreas funcionales de las organizaciones de la región para mejorar su desempeño e incrementar su productividad, fortaleciendo la relación Universidad-Organización."
4,"Ciencias naturales, medio ambiente y desarrollo sostenible","Esta línea de investigación es acorde con las áreas cubiertas por el Departamento de Ciencias Básicas y Humanas de la UDI se enfoca en el estudio e investigación de las variables medio ambientales, cuidado del medio ambiente, impacto ambiental y sostenibilidad de procesos productivos, alternativas para la gestión y valorización de desechos y energías renovables."
4,Educación y competencias Ciudadanas,"Esta línea de investigación se enfoca en estudiar problemas de educación tales como: políticas públicas sobre educación, estrategias pedagógicas sobre la lectura y escritura, desarrollo y apropiación de las competencias ciudadanas, problemas éticos y de sociedad que surgen a partir de la interacción con los otros."
4,Investigación y desarrollo en Física teórica y experimental,"Esta línea de investigación está enfocada en el desarrollo de productos de investigación en el área de Física, desde la investigación teórica, pasando por la simulación en condiciones ideales hasta la investigación experimental buscando el desarrollo de sistemas funcionales."
4,"Pedagogía, Didáctica e Innovación en el proceso de la Enseñanza y el Aprendizaje","Esta línea se enfoca en el desarrollo de estrategias pedagógicas y didácticas para el mejoramiento del proceso enseñanza aprendizaje en todas las áreas del conocimiento; así mismo, la implementación de las tecnologías de la información y la comunicación aplicadas en el aula."
4,"Química analítica, experimental y aplicada","Esta línea está enfocada en el desarrollo de métodos analíticos, fisicoquímicos, técnicas, procesos y soluciones para su aplicación en diferentes campos (farmacéutica, biotecnología, etc)."
5,"Diseño, imágen y comunicación visual","Construir conceptos que permitan la creación y consolidación de una cultura de identidad gráfica de las instituciones y productos, a favor del desarrollo local, regional y nacional. Complementar los estudios de mercadeo y aportar herramientas que contribuyan al desarrollo visual publicitario. Disminuir la contaminación visual a través del desarrollo de instrumentos y propuestas publicitarias alternas. Estudiar los diferentes modelos de comunicación humana a través de los medios y modos de comunicación, facilitando la creación de estrategias que permitan al diseño acoplarse eficazmente a las nuevas tendencias comunicacionales."
5,Gestión cultural para el fomento de la cultura ciudadana,Promover el empoderamiento de las comunidades en sus procesos de desarrollo con el fin de que estos sean los generadores de transformaciones sociales de sus propios entornos por medio del diseño de propuestas proyectuales.
5,Gestión cultural para el fomento de la industria turística.,"Desarrollar proyectos que involucren procesos desde la gestión en la cual el diseño es un participante activo para analizar, crear y ejecutar propuestas cuyo resultado puede ser desde lo proyectual hasta lo visual y tangible donde el turismo es un elemento a potencializar tomando como base la realidad del contexto y sus reales alcances."
6,Desarrollo Empresarial Competitivo,"Centra sus esfuerzos en apoyar el crecimiento y la competitividad de las empresas colombianas, a través de proyectos que promuevan estrategias para la creación de ventajas competitivas sostenibles de organizaciones públicas como privadas."
6,Estrategia Organizacional,Centra sus esfuerzos en lograr que las empresas y entidades públicas maximicen su potencial a través de proyectos enfocados en la optimización de los procesos.
7,Investigación criminal y forense,"El trabajo en esta línea esta enfocado en el desarrollo científico de carácter aplicado, para aportar elementos innovadores a los procesos de investigación criminal y forense, en aras de una eficiente y eficaz aplicación de la justicia."
8,"Conflictos, Violencias y Representaciones sociales","Trabajando sobre el desarrollo humano a raíz del estudio de temas relacionados con el conflicto, la violencia y sus representaciones sociales, mediante el desarrollo de procesos enmarcados en la investigación científica; con un grupo humano con principios éticos, teóricos, epistemológicos y empíricos que aporten al fortalecimiento de la disciplina, a través de la integración de los diferentes campos de la psicología, generando así por su acción, nuevo conocimiento, pautas, herramientas e indicadores que posibiliten alternativas de mejora a las diferentes problemáticas sociales existentes."
9,"Estudio de amenazas, vulnerabilidad y riesgos a fenómenos naturales y antrópicos que colocan en peligro la vida humana y los bienes","La línea se orienta a la comprensión de fenómenos que ocurren con una determinada frecuencia y que pueden generar amenaza, vulnerabilidad y riesgo en un grupo social o en un entorno construido. Como consecuencia, la línea de investigacion permea en varios de los Objetivos de Desarrollo Sostenible (ODS) y pertime su articulación con el sector industrial fortalecienciendo la relación universidad-industria"
10,"Comunicación, mediación y contextos culturales","Esta línea de investigación se trabaja desde tres ejes temáticos como lo son: La comunicación, la mediación y los contextos culturales; estas abren posibilidades de trabajo con otros grupos de investigación cuyo objeto de estudio se asimile al nuestro. Además, articular intereses en el ámbito comunicacional brinda escenarios de cooperación interinstitucional apuntando a proyectos conjuntos que alcancen publicaciones desde las instituciones en revistas indexadas."
11,Globalización organizacional y sostenibilidad,"La globalización es un proceso económico, político, tecnológico, social y cultural que ha transformado e interconectado a las naciones y que ha afectado, de diversas maneras, los mercados, tecnologías, comercializaciones, comunicaciones, políticas y desarrollos industriales a nivel global. La globalización ha sido una consecuencia del capitalismo en la búsqueda de expandir el comercio internacional, la producción y el consumo, donde el internet y el desarrollo tecnológico han sido clave. Este proceso en el que las empresas y mercados sobrepasan las fronteras nacionales y alcanzan una dimensión mundial, brindan un sin número de oportunidades para disminuir riesgos de exclusión, con la aplicación de estrategias sostenibles que les permitan alcanzar la competitividad. La sostenibilidad en los negocios cada vez es más importante a nivel global donde el actuar ético y transparente de países y organizaciones garantizan el equilibrio en lo ambiental, social y económico, con la formulación de estrategias corporativas, donde la innovación y las TIC juegan un rol importante en la cadena de valor de los negocios y garantizan que estos sean negocios sostenibles."
12,"Diseño, Transiciones y Desarrollo local","Busca integrar 3 aspectos claves para la consolidación de escenarios sustentables locales: el diseño como estrategia articuladora (interpretado como proyecto, proceso, resultado, cultura, disciplina, entre otros); el enfoque de las transiciones aporta una visión compleja y prospectiva que permite proyectar escenarios deseables a corto, mediano y largo para lograr un desarrollo local que armonice, desde una postura biocéntrica, las dimensiones ecológicas, socioculturales, políticas y económicas."
13,Publicidad,"La línea de investigación ""Publicidad"" se enfoca en el estudio de las estrategias y técnicas utilizadas para comunicar mensajes persuasivos a un público objetivo. Esto incluye el análisis de los diferentes tipos de publicidad (tradicional, digital, etc.), los medios publicitarios, el comportamiento del consumidor y la efectividad de las campañas publicitarias. El objetivo es comprender cómo crear mensajes publicitarios que sean relevantes, atractivos y persuasivos, y que logren los objetivos de marketing de las marcas."
13,Marketing,"La línea de investigación ""Marketing"" se enfoca en el estudio de las estrategias y técnicas para entender y satisfacer las necesidades del consumidor, logrando los objetivos de negocio de manera sostenible. Esto abarca el análisis del comportamiento del consumidor, las tendencias del mercado, la innovación en marketing digital y la planificación estratégica. El objetivo es desarrollar estrategias de marketing efectivas, innovadoras y responsables, que impulsen el crecimiento empresarial y generen valor a largo plazo."
14,"Derecho, Estado y Resolución de conflictos","Esta línea de investigación se crea con el fin de dar solidez al grupo de investigaciones jurídicas del programa de Derecho de la Universidad de Investigación y Desarrollo UDI. Tiene como objetivo observar, analizar y comprender los problemas socio-jurídicos existentes en la sociedad y en la legislación colombiana con el fin de formular soluciones críticas y asertivas con la rigurosidad de la investigación científico-jurídica."
15,Procesos de Aprendizaje,"Se centra en el estudio de todos aquellos procesos de aprendizaje relacionados con aspectos cognitivos, metacognitivos y motivacionales que a través de la mediación TIC y la inclusión de la inteligencia artificial en las aulas de clase presencial, síncronas y asíncronas se presentan como parte de los procesos formativos."
15,Mediación TIC,"Aportar al estudio de las tendencias, recursos y mediaciones pedagógicas y didácticas que se presentan en los procesos de articulación de la praxis de los docentes con relación al aprendizaje, enseñanza y evaluación."
15,Alfabetización Tecnológica,"Tiene como propósito el desarrollo de pensamiento tecnológico aplicado a la educación, la alfabetización digital y tecnológica como una manera de impactar de forma favorable en aspectos asociados con las dificultades que se presenta en relación a la apropiación, desarrollo e implementación de tecnologías en los contextos educativos de aula."
16,Gestión y Control Contable,"Esta línea se enfoca en lidera trabajos investigativos para el asegurarmiento financiero, fortalecer el desarrollo económico regional, promover la cultura de sostenibilidad empresarial y generar conocimiento en la profesion contable y su relación con otras disciplinas"
17,Sin línea,Indica que el programa aún no tiene una línea de investigación asignada.